,time,player,age,round,text
0,2020-05-16 21:41:10,Orange,IV,19,End of game#Check the journal to get the final impacts effects : Impact of Happiness Impact of Population Impact of Science Impact of Technology WINNER IS DAVID LI AS ORANGE (250 PTS) 2nd is Micah Yospe as Green (192 pts) 3rd is teddy yeh as Purple (150 pts) 4th is X L as Grey (116 pts) #
1,2020-05-16 21:41:10,Grey,IV,19,Bill Gates scoring#Green scores 4 culture #
2,2020-05-16 21:41:10,Grey,IV,19,Impact of Technology#Each civilization scores 4 culture for each of its level III technologies (level II in Advanced game). Orange scores 24 culture Purple scores 16 culture Green scores 16 culture Grey scores 12 culture #
3,2020-05-16 21:41:06,Grey,IV,19,Impact of Science#Each civilizations score culture according to the relative amount of science it produces: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 15 culture Purple scores 10 culture Grey scores 5 culture #
4,2020-05-16 21:41:03,Grey,IV,19,Impact of Population#Each civilization scores 2 culture per content worker above 10. Orange scores 20 culture Purple scores 12 culture Green scores 14 culture Grey scores 4 culture #
5,2020-05-16 21:41:00,Grey,IV,19,Impact of Happiness#Each civilization scores 2 culture per happy face (no more than 16 points) and loses 2 culture per discontent worker. Orange scores 12 culture Purple scores 12 culture Green scores 10 culture Grey scores 14 culture #
6,2020-05-16 21:40:59,Grey,IV,19,End turn#Winston Churchill scores 3 culture. Grey scores: 8 culture (now 81) 12 science (now 27) 0 food - consumption: 3 (now 0) 0 resources (now 2) #
7,2020-05-16 21:40:59,Grey,IV,18,End turn#Winston Churchill scores 3 culture. Grey scores: 8 culture (now 81) 12 science (now 27) 0 food - consumption: 3 (now 0) 0 resources (now 2) #
8,2020-05-16 21:40:58,Grey,IV,18,No Discard Phase##
9,2020-05-16 21:40:47,Grey,IV,18,Grey builds Bread & Circuses#Grey spends 2 resources #
10,2020-05-16 21:40:42,Grey,IV,18,Grey destroys Oil##
11,2020-05-16 21:40:34,Grey,IV,18,Grey builds Bread & Circuses#Grey spends 2 resources #
12,2020-05-16 21:40:30,Grey,IV,18,Grey increases population#Grey spends 4 food #
13,2020-05-16 21:40:25,Grey,IV,18,Grey passes Political Phase##
14,2020-05-16 20:03:37,Green,IV,18,End turn#Green scores: 18 culture (now 148) 7 science (now 12) 3 food - consumption: 3 (now 3) 10 resources (now 10) #
15,2020-05-16 20:03:36,Green,IV,18,No Discard Phase##
16,2020-05-16 20:02:39,Green,IV,18,Green builds 2 stages of Hollywood#Green spends 11 resources Wonder completed Green scores 18 culture #
17,2020-05-16 20:02:14,Green,IV,18,Green increases population#Green spends 5 food #
18,2020-05-16 20:01:37,Green,IV,18,Green discovers Multimedia#Green loses 9 science #
19,2020-05-16 20:01:23,Green,IV,18,Green plays Engineering Genius#Green builds 1 stage of Hollywood #
20,2020-05-16 20:01:08,Green,IV,18,Green passes Political Phase##
21,2020-05-16 19:55:02,Purple,IV,18,End turn#Purple scores: 23 culture (now 100) 12 science (now 12) 2 food - consumption: 4 (now 3) 4 resources (now 5) #
22,2020-05-16 19:55:01,Purple,IV,18,No Discard Phase##
23,2020-05-16 19:54:31,Purple,IV,18,Purple discovers Tanks#Purple loses 9 science #
24,2020-05-16 19:54:20,Purple,IV,18,Purple increases population#Purple spends 7 food #
25,2020-05-16 19:54:09,Purple,IV,18,Purple builds Opera#Purple spends 8 resources #
26,2020-05-16 19:53:59,Purple,IV,18,Purple upgrades Alchemy to Computers using Efficient Upgrade#Purple spends 1 resource #
27,2020-05-16 19:53:33,Purple,IV,18,Purple plays Reserves#Purple produces 4 resources #
28,2020-05-16 19:52:54,Purple,IV,18,Purple passes Political Phase##
29,2020-05-16 19:03:57,Orange,IV,18,End turn#Orange scores: 11 culture (now 179) 12 science (now 14) 0 food - consumption: 6 (now 6) 8 resources (now 9) #
30,2020-05-16 19:03:56,Orange,IV,18,No Discard Phase##
31,2020-05-16 19:03:28,Orange,IV,18,Orange takes Mechanized Agriculture in hand#Orange uses 1 civil action #
32,2020-05-16 19:03:24,Orange,IV,18,Orange builds 4 stages of First Space Flight#Orange spends 16 resources Wonder completed Orange scores 31 culture #
33,2020-05-16 19:03:04,Orange,IV,18,Orange discovers Professional Sports#Orange loses 7 science Orange scores 3 culture #
34,2020-05-16 19:02:47,Orange,IV,18,Orange plays Revolutionary Idea#Orange gets 6 science #
35,2020-05-16 19:02:39,Orange,IV,18,Orange discovers Movies#Orange loses 10 science Orange scores 3 culture #
36,2020-05-16 19:02:28,Orange,IV,18,Orange takes Movies in hand#Orange uses 1 civil action #
37,2020-05-16 18:56:42,Orange,IV,18,Orange plays Armed Intervention against Green#Take up to 7 culture from your rival. Orange uses 2 military action #
38,2020-05-16 18:10:56,Orange,IV,18,Last turn#Game ends at the end of the starting round #
39,2020-05-16 18:10:56,Grey,IV,18,Last turn#Game ends at the end of the starting round #
40,2020-05-16 18:10:56,Grey,IV,17,End turn#Winston Churchill scores 3 culture. Grey scores: 8 culture (now 73) 12 science (now 15) 1 food - consumption: 2 (now 4) 5 resources (now 6) #
41,2020-05-16 18:10:55,Grey,IV,17,No Discard Phase##
42,2020-05-16 18:10:44,Grey,IV,17,Grey adopts existing tactics#II / Classic Army #
43,2020-05-16 18:10:32,Grey,IV,17,Grey upgrades Warrior to Modern Infantry#Grey spends 5 resources #
44,2020-05-16 18:10:26,Grey,IV,17,Grey plays Reserves#Grey produces 4 resources #
