,time,player,age,round,text
0,2021-06-26 14:57:41,Orange,IV,19,End of gameCheck the journal to get the final impacts effects : Impact of Competition Impact of Government Impact of Happiness Impact of Science Impact of Technology Impact of Wonders WINNER IS DAVID LI AS PURPLE (208 PTS) 2nd is teddy yeh as Green (172 pts) 3rd is Micah Yospe as Orange (165 pts) 4th is X L as Grey (162 pts)
1,2021-06-26 14:57:41,Grey,IV,19,Impact of WondersEach civilization scores culture for each wonders: 5 for age A 4 for age I 3 for age II 2 for age III Orange scores 7 culture Purple scores 8 culture Green scores 11 culture Grey scores 9 culture
2,2021-06-26 14:57:40,Grey,IV,19,Impact of TechnologyEach civilization scores 4 culture for each of its level III technologies (level II in Advanced game). Orange scores 12 culture Purple scores 16 culture Green scores 8 culture Grey scores 4 culture
3,2021-06-26 14:57:39,Grey,IV,19,Impact of ScienceEach civilizations score culture according to the relative amount of science it produces: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 10 culture Purple scores 15 culture Green scores 5 culture
4,2021-06-26 14:57:37,Grey,IV,19,Impact of HappinessEach civilization scores 2 culture per happy face (no more than 16 points) and loses 2 culture per discontent worker. Orange scores 10 culture Purple scores 16 culture Green scores 16 culture Grey scores 4 culture
5,2021-06-26 14:57:36,Grey,IV,19,Impact of GovernmentEach civilization scores 2 culture per civil action and 1 culture per military action. Orange scores 16 culture Purple scores 17 culture Green scores 16 culture Grey scores 12 culture
6,2021-06-26 14:57:35,Grey,IV,19,Impact of CompetitionEach civilization scores 1 culture per level of each of its military units and arenas. Orange scores 9 culture Purple scores 11 culture Green scores 12 culture Grey scores 8 culture
7,2021-06-26 14:57:34,Grey,IV,19,End turnGrey scores: 5 culture (now 125) 2 science (now 4) 1 food - consumption: 3 (now 1) 13 resources (now 16)
8,2021-06-26 14:57:34,Grey,IV,18,End turnGrey scores: 5 culture (now 125) 2 science (now 4) 1 food - consumption: 3 (now 1) 13 resources (now 16)
9,2021-06-26 14:57:33,Grey,IV,18,No Discard Phase
10,2021-06-26 14:55:34,Grey,IV,18,Grey builds 1 stage of Fast Food ChainsGrey spends 4 resources Wonder completed Grey scores 19 culture
11,2021-06-26 14:55:06,Grey,IV,18,Grey increases populationGrey spends 5 food
12,2021-06-26 14:54:47,Grey,IV,18,Grey increases populationGrey spends 4 food
13,2021-06-26 14:35:13,Grey,IV,18,Grey builds 1 stage of Fast Food ChainsGrey spends 4 resources
14,2021-06-26 14:35:04,Grey,IV,18,Grey builds 1 stage of Fast Food ChainsGrey spends 4 resources
15,2021-06-26 13:33:47,Purple,IV,18,Purple defends1 Defense card +6 played 1 Defense card +6 played 1 Defense card +6 played 1 Defense card +6 played 1 Defense card +6 played Purple strength: 55 Grey strength: 36
16,2021-06-26 12:29:50,Grey,IV,18,Grey plays Armed Intervention against PurpleTake up to 7 culture from your rival. Grey uses 2 military action
17,2021-06-26 09:00:37,Green,IV,18,End turnWinston Churchill scores 3 culture. Green scores: 7 culture (now 104) 6 science (now 9) 3 food - consumption: 4 (now 6) 6 resources (now 6)
