,time,player,age,round,text
0,2020-11-01 08:54:35,Orange,IV,21,End of game Check the journal to get the final impacts effects : Impact of Industry Impact of Happiness Impact of Government Impact of Architecture Impact of Politicians WINNER IS MICAH YOSPE AS PURPLE (209 PTS) 2nd is David Li as Orange (197 pts) 3rd is X L as Green (180 pts) 4th is teddy yeh as Grey (146 pts)
1,2020-11-01 08:54:35,Grey,IV,21,Sagrada Familia scoring Green scores 8 culture
2,2020-11-01 08:54:35,Grey,IV,21,Impact of Politicians Each civilization loses 2 culture for each empty slot on its blue bank. Orange loses 16 culture Purple loses 2 culture Green loses 8 culture Grey loses 4 culture
3,2020-11-01 08:54:35,Grey,IV,21,Impact of Architecture Each civilization scores 1 culture per level of its urban buildings. Orange scores 12 culture Purple scores 8 culture Green scores 0 culture Grey scores 14 culture
4,2020-11-01 08:54:35,Grey,IV,21,Impact of Government Each civilization scores 2 culture per civil action and 1 culture per military action. Orange scores 18 culture Purple scores 19 culture Green scores 19 culture Grey scores 19 culture
5,2020-11-01 08:54:35,Grey,IV,21,Impact of Happiness Each civilization scores 2 culture per happy face (max 16) and loses 2 per discontent worker. Orange scores 16 culture Purple scores 16 culture Green scores 6 culture Grey scores 16 culture
6,2020-11-01 08:54:35,Grey,IV,21,Impact of Industry Each civilization scores culture equal to the amount of resources it produce. Orange scores 8 culture Purple scores 0 culture Green scores 0 culture Grey scores 2 culture
7,2020-11-01 08:54:35,Grey,IV,21,End turn Grey scores: 3 food - consumption: 3 (now 5) 2 resources (now 2) 21 culture (now 99) 8 science (now 9)
8,2020-11-01 08:54:14,Grey,IV,20,Grey destroys Iron
9,2020-11-01 08:54:05,Grey,IV,20,Grey destroys Iron
10,2020-11-01 08:53:51,Grey,IV,20,Grey upgrades Religion to Theology using Efficient Upgrade
11,2020-11-01 08:53:40,Grey,IV,20,Grey builds Religion Grey spends 3 resources
12,2020-11-01 08:53:09,Grey,IV,20,Grey increases population Grey spends 5 food
13,2020-11-01 08:52:58,Grey,IV,20,Grey builds 2 stages of First Space Flight Grey spends 13 resources Wonder completed Grey scores 21 culture
14,2020-11-01 08:52:50,Grey,IV,20,Grey plays Mineral Deposits Grey produces 4 resources
15,2020-11-01 08:52:33,Grey,IV,20,Grey discovers Democracy 21 science spent
16,2020-11-01 08:52:03,Grey,IV,20,No Discard Phase
17,2020-11-01 08:52:03,Grey,IV,20,Grey passes Political Phase
18,2020-11-01 00:21:16,Green,IV,20,End turn Green scores: -1 food - consumption: 1 (now 1) 0 resources (now 0) 8 culture (now 155) 0 science (now 0)
19,2020-11-01 00:17:46,Green,IV,20,Green takes Professional Sports in hand 1 civil action used
20,2020-11-01 00:14:50,Green,IV,20,Green builds Warrior Green spends 2 resources
21,2020-11-01 00:14:38,Green,IV,20,Green destroys Selective breeding
22,2020-11-01 00:12:54,Green,IV,20,Green destroys Iron
23,2020-11-01 00:12:44,Green,IV,20,Green destroys Iron
24,2020-11-01 00:12:08,Green,IV,20,Green builds 1 stage of Sagrada Familia Green spends 4 resources
25,2020-11-01 00:11:59,Green,IV,20,Green plays Engineering Genius Green builds 1 stage of Sagrada Familia
26,2020-11-01 00:11:49,Green,IV,20,Green plays Endowment for the Arts
27,2020-10-31 21:19:54,Green,IV,20,No Discard Phase
28,2020-10-31 21:19:54,Grey,IV,20,Grey defends 1 Defense card +6 played Grey strength: 6 Green strength: 5
29,2020-10-31 20:50:17,Green,IV,20,Green plays Armed Intervention against Grey A rival loses 7 culture. You score 7 culture. 2 military actions used
30,2020-10-31 19:01:40,Purple,IV,20,End turn Purple scores: 1 food - consumption: 3 (now 5) 0 resources (now 0) 20 culture (now 168) 1 science (now 7)
31,2020-10-31 19:01:30,Purple,IV,20,Purple destroys Coal
32,2020-10-31 19:01:22,Purple,IV,20,Purple destroys Coal
33,2020-10-31 19:01:13,Purple,IV,20,Purple builds Printing Press Purple spends 3 resources
34,2020-10-31 19:01:04,Purple,IV,20,Purple elects John Paul II
35,2020-10-31 19:00:49,Purple,IV,20,Purple builds Organized religion Purple spends 5 resources
36,2020-10-31 19:00:42,Purple,IV,20,Purple takes John Paul II in hand 2 civil actions used
37,2020-10-31 18:58:33,Purple,IV,20,No Discard Phase
38,2020-10-31 18:58:33,Purple,IV,20,Purple colonizes a Inhabited Territory Sacrificed Units: 1 Knights 1 Colonization card +3 Total force: 5 Purple increases population by 2
39,2020-10-31 18:48:20,Orange,IV,20,Purple wins Inhabited Territory Winning bid is 5
40,2020-10-31 18:48:20,Orange,IV,20,Orange passes
41,2020-10-31 18:35:02,Purple,IV,20,Purple bids 5
42,2020-10-31 18:34:19,Purple,IV,20,Purple plays event Purple scores 3 culture Future events are now current events. Current event: II / Inhabited Territory 2 population
43,2020-10-31 18:25:07,Orange,IV,20,End turn Orange scores: 2 food - consumption: 4 (now 4) 8 resources (now 16) 22 culture (now 159) 8 science (now 8)
44,2020-10-31 18:24:41,Orange,IV,20,Orange takes Democracy in hand 1 civil action used
45,2020-10-31 18:24:37,Orange,IV,20,Orange puts Tanks back in the row 1 civil action recovered
46,2020-10-31 18:24:34,Orange,IV,20,Orange takes Tanks in hand 1 civil action used
47,2020-10-31 18:24:21,Orange,IV,20,Orange puts Tanks back in the row 1 civil action recovered
48,2020-10-31 18:24:18,Orange,IV,20,Orange takes Tanks in hand 1 civil action used
49,2020-10-31 18:06:16,Orange,IV,20,Orange builds Modern Infantry Orange spends 3 resources
50,2020-10-31 18:06:11,Orange,IV,20,Orange plays Patriotism
