,time,player,age,round,text
0,2020-08-19 10:51:13,Orange,IV,19,End of game Check the journal to get the final impacts effects : Impact of Agriculture Impact of Happiness Impact of Science Impact of Strength Impact of Technology Impact of Wonders WINNER IS DAVID LI AS PURPLE (297 PTS) 2nd is X L as Grey (238 pts) 3rd is Micah Yospe as Orange (210 pts) 4th is teddy yeh as Green (192 pts)
1,2020-08-19 10:51:12,Grey,IV,19,Impact of Wonders Each civilization scores culture for each wonders: 5 for age A 4 for age I 3 for age II 2 for age III Orange scores 4 culture Purple scores 6 culture Green scores 8 culture Grey scores 10 culture
2,2020-08-19 10:51:07,Grey,IV,19,Impact of Technology Each civilization scores 4 culture for each of its level III technologies (level II in Advanced game). Orange scores 16 culture Purple scores 24 culture Green scores 12 culture Grey scores 8 culture
3,2020-08-19 10:51:04,Grey,IV,19,Impact of Strength Each civilizations score culture according to their relative strength: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 10 culture Green scores 5 culture Grey scores 15 culture
4,2020-08-19 10:51:01,Grey,IV,19,Impact of Science Each civilizations score culture according to the relative amount of science it produces: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 5 culture Purple scores 15 culture Grey scores 10 culture
5,2020-08-19 10:51:00,Grey,IV,19,Impact of Happiness Each civilization scores 2 culture per happy face (no more than 16 points) and loses 2 culture per discontent worker. Orange scores 16 culture Purple scores 12 culture Green scores 14 culture Grey scores 10 culture
6,2020-08-19 10:50:56,Grey,IV,19,Impact of Agriculture Each civilization scores culture equal to the amount of food it produces with a bonus of 4 culture if this exceeds consumption. Orange scores 9 culture Purple scores 10 culture Green scores 10 culture Grey scores 8 culture
7,2020-08-19 10:50:55,Grey,IV,19,End turn Winston Churchill scores 3 culture. Grey scores: 13 culture (now 177) 10 science (now 18) 1 food - consumption: 3 (now 2) 7 resources (now 10)
8,2020-08-19 10:50:55,Grey,IV,18,End turn Winston Churchill scores 3 culture. Grey scores: 13 culture (now 177) 10 science (now 18) 1 food - consumption: 3 (now 2) 7 resources (now 10)
9,2020-08-19 10:50:54,Grey,IV,18,No Discard Phase
10,2020-08-19 10:49:35,Grey,IV,18,Grey builds Journalism Grey spends 8 resources
11,2020-08-19 10:49:28,Grey,IV,18,Grey destroys Bronze
12,2020-08-19 10:49:00,Grey,IV,18,Grey builds 1 stage of First Space Flight Grey spends 9 resources Wonder completed Grey scores 24 culture
13,2020-08-19 10:48:54,Grey,IV,18,Grey builds 1 stage of First Space Flight Grey spends 4 resources
14,2020-08-19 10:48:45,Grey,IV,18,Grey plays Endowment for the Arts Grey scores 6 culture
15,2020-08-19 10:48:17,Grey,IV,18,Raid casualties 1 Computers 1 Journalism Grey produces 10 resources
16,2020-08-19 10:47:01,Purple,IV,18,concedes defeat
17,2020-08-19 10:46:53,Purple,IV,18,Purple tries to defend 1 Defense card +6 played 1 military card played 1 military card played 1 military card played 1 military card played Purple strength: 38 Grey strength: 51
